Names,Category,Sub Category,Rank,Technology
bacnet-who-is-router-to-network,business-systems,ics-protocols,1,network-protocol
bacnet-i-am-router-to-network,business-systems,ics-protocols,1,network-protocol
bacnet-i-could-be-router-to-nw,business-systems,ics-protocols,1,network-protocol
bacnet-reject-msg-to-network,business-systems,ics-protocols,1,network-protocol
bacnet-router-busy-to-network,business-systems,ics-protocols,1,network-protocol
bacnet-router-available-to-nw,business-systems,ics-protocols,1,network-protocol
bacnet-initialize-routing-table,business-systems,ics-protocols,1,network-protocol
bacnet-init-routing-table-ack,business-systems,ics-protocols,1,network-protocol
bacnet-establish-conn-to-nw,business-systems,ics-protocols,1,network-protocol
bacnet-disconnect-conn-to-nw,business-systems,ics-protocols,1,network-protocol
bacnet-what-is-network-number,business-systems,ics-protocols,1,network-protocol
bacnet-network-number-is,business-systems,ics-protocols,1,network-protocol
bacula,business-systems,storage-backup,2,client-server
badongo,general-internet,file-sharing,4,browser-based
badoo,collaboration,social-networking,2,browser-based
baidu-hi-base,collaboration,instant-messaging,3,client-server
baidu-hi-file-transfer,general-internet,file-sharing,4,client-server
baidu-hi-games,media,gaming,3,client-server
baidu-hi-audio-video,saas,voip-video,2,client-server
baidu-ime,general-internet,internet-utility,2,client-server
baidu-webmessenger,collaboration,instant-messaging,3,browser-based
balbix,saas,general-business,1,client-server
bananatag,general-internet,internet-utility,2,browser-based
baofeng,media,photo-video,4,peer-to-peer
barracuda-backup,saas,storage-backup,2,client-server
base-crm,saas,erp-crm,4,browser-based
basecamp-base,saas,web-posting,2,browser-based
basecamp-uploading,saas,web-posting,2,client-server
basecamp-downloading,saas,web-posting,2,client-server
batchbook,saas,erp-crm,2,browser-based
battle.net,media,gaming,2,client-server
battlefield2,media,gaming,2,client-server
baxter-sigma-xml,business-systems,medical,1,client-server
bbc-iplayer,media,photo-video,3,browser-based
bbc-streaming,media,photo-video,2,browser-based
bbcp,general-internet,internet-utility,2,client-server
bbn-rcc-mon,networking,ip-protocol,1,network-protocol
bbraun-dosetrac,business-systems,medical,1,client-server
bbraun-space,business-systems,medical,1,browser-based
beampro-telepresence,business-systems,general-business,1,peer-to-peer
beamyourscreen,saas,internet-conferencing,3,browser-based
beats-music,media,audio-streaming,2,browser-based
bebo-mail,collaboration,email,3,browser-based
bebo-base,collaboration,social-networking,3,browser-based
bebo-posting,collaboration,social-networking,4,browser-based
beinsync,networking,remote-access,2,client-server
benchmark,saas,office-programs,2,browser-based
bet365,media,gaming,2,browser-based
betternetvpn,networking,encrypted-tunnel,1,browser-based
between-messenger,collaboration,instant-messaging,2,client-server
beyond-trust-remote-support,networking,remote-access,2,client-server
bfcp,collaboration,internet-conferencing,1,client-server
bfd,networking,infrastructure,1,network-protocol
bgp,networking,routing,2,network-protocol
big-brother,business-systems,management,1,client-server
bigbluebutton,collaboration,internet-conferencing,1,browser-based
bigupload,general-internet,file-sharing,4,browser-based
bime,saas,general-business,2,client-server
bing-maps,general-internet,internet-utility,1,browser-based
bit9-parity,business-systems,management,2,client-server
bitbucket-base,saas,management,3,browser-based
bitbucket-uploading,saas,management,3,client-server
bitcasa,saas,file-sharing,3,client-server
bitcoin,general-internet,internet-utility,4,peer-to-peer
bitdefender,business-systems,management,3,client-server
bitrix24,saas,erp-crm,2,browser-based
bittorrent,general-internet,file-sharing,5,peer-to-peer
bittorrent-sync,general-internet,file-sharing,4,client-server
bkper,saas,management,2,browser-based
blackberry,collaboration,email,4,client-server
blackboard,saas,social-business,1,browser-based
blackboard-collaborate,collaboration,social-networking,2,browser-based
blin,media,photo-video,3,peer-to-peer
blind,collaboration,social-networking,2,browser-based
blog-posting,collaboration,web-posting,4,browser-based
blogger-blog-posting,collaboration,web-posting,3,browser-based
blokus,media,gaming,1,browser-based
bloomberg-professional,business-systems,general-business,2,client-server
bluecoat-adn,networking,infrastructure,1,client-server
bluecoat-auth-agent,business-systems,auth-service,3,client-server
bluejeans-uploading,saas,file-sharing,2,client-server
bluejeans-downloading,saas,file-sharing,2,client-server
bluejeans-base,saas,internet-conferencing,2,browser-based
bmc-bco-best1,business-systems,management,1,client-server
bna,networking,ip-protocol,1,network-protocol
boldchat-logmein,collaboration,instant-messaging,4,browser-based
bomberclone,media,gaming,1,client-server
bomgar,saas,remote-access,4,client-server
bonpoo,general-internet,file-sharing,4,browser-based
boomerang,saas,email,1,browser-based
bosch-rcp-plus,business-systems,management,2,client-server
boxnet-sharing,saas,file-sharing,2,browser-based
boxnet-base,saas,file-sharing,3,browser-based
boxnet-editing,saas,file-sharing,3,browser-based
boxnet-consumer-access,saas,file-sharing,3,browser-based
boxnet-enterprise-access,saas,file-sharing,3,browser-based
boxnet-downloading,saas,file-sharing,3,browser-based
boxnet-uploading,saas,file-sharing,4,browser-based
br-sat-mon,networking,ip-protocol,1,network-protocol
brass,general-internet,internet-utility,1,network-protocol
brightcloud,business-systems,general-business,1,client-server
brightcove,media,photo-video,5,browser-based
brightsign-media-player,business-systems,ics-protocols,1,client-server
brighttalk,media,photo-video,3,browser-based
browsec,networking,encrypted-tunnel,3,browser-based
browserstack,business-systems,software-development,2,browser-based
bubbly,collaboration,social-networking,1,client-server
buddybuddy-base,collaboration,instant-messaging,1,client-server
buddybuddy-file-transfer,general-internet,file-sharing,2,client-server
bugzilla,business-systems,general-business,3,browser-based
buzzsaw,saas,erp-crm,2,browser-based
bypass,networking,proxy,5,client-server
bypassthat,networking,proxy,5,client-server
bzflag,business-systems,general-business,1,client-server
c9-trader,business-systems,general-business,1,client-server
ca-mq-service,business-systems,storage-backup,2,client-server
ca-nimsoft-monitor,business-systems,management,1,client-server
ca-sdm,business-systems,management,1,client-server
caihong,collaboration,instant-messaging,4,client-server
cakehr,saas,general-business,2,browser-based
calameo,general-internet,file-sharing,2,browser-based
calendly,saas,office-programs,2,browser-based
call-of-duty,media,gaming,2,client-server
callidus,saas,general-business,1,browser-based
callpilot,saas,email,1,browser-based
camfrog,saas,voip-video,5,peer-to-peer
camo-proxy,networking,proxy,4,browser-based
camos,business-systems,erp-crm,1,client-server
campfire,saas,internet-conferencing,3,browser-based
canon-bjnp,business-systems,management,1,client-server
canvas,business-systems,general-business,4,browser-based
capsule,saas,general-business,2,browser-based
capsule-neuron,business-systems,medical,1,client-server
capwap,networking,infrastructure,1,network-protocol
carbonite-base,saas,storage-backup,3,browser-based
carbonite-uploading,saas,storage-backup,4,browser-based
carbonite-downloading,saas,storage-backup,4,browser-based
carefx,business-systems,medical,2,client-server
carestream,business-systems,medical,1,client-server
cassandra,business-systems,database,1,client-server
catapult,general-internet,file-sharing,2,client-server
cbs-video,media,photo-video,2,browser-based
cbt,networking,ip-protocol,1,network-protocol
cc-link,business-systems,ics-protocols,1,network-protocol
cddb,media,photo-video,1,client-server
cellcrypt,collaboration,instant-messaging,1,client-server
celoxis,saas,management,2,browser-based
centrak-star-heartbeat,business-systems,medical,1,client-server
centreli,saas,general-business,1,browser-based
centriccrm,saas,erp-crm,2,browser-based
centurion,business-systems,management,1,client-server
cerner,business-systems,medical,1,client-server
cerner-device-connectivity,business-systems,medical,1,client-server
certeon-acelera,networking,infrastructure,1,network-protocol
certify,saas,management,2,browser-based
cftp,networking,ip-protocol,1,network-protocol
cgi-irc,collaboration,instant-messaging,4,browser-based
cgiproxy,networking,proxy,5,browser-based
channel4,media,photo-video,3,browser-based
chaos,networking,ip-protocol,1,network-protocol
chargen,business-systems,management,1,network-protocol
chatango,collaboration,instant-messaging,1,client-server
chaton,collaboration,instant-messaging,2,client-server
chatroulette,collaboration,voip-video,3,browser-based
checkmarket-base,business-systems,general-business,2,browser-based
checkmarket-uploading,business-systems,general-business,2,browser-based
checkmk,saas,it-infrastructure,2,browser-based
checkpoint-client-auth,business-systems,auth-service,1,client-server
checkpoint-cpd,business-systems,management,1,client-server
checkpoint-cpmi,business-systems,management,1,client-server
checkpoint-logging,business-systems,management,1,client-server
checkpoint-rdp,business-systems,management,1,client-server
checkpoint-vpn,networking,encrypted-tunnel,3,client-server
chikka-messenger,collaboration,instant-messaging,2,client-server
chinaren-chat,collaboration,instant-messaging,3,browser-based
chinaren-base,collaboration,social-networking,2,browser-based
chinaren-apps,collaboration,social-networking,2,browser-based
chinaren-posting,collaboration,web-posting,3,browser-based
chinaren-mail,saas,email,2,browser-based
chisel,networking,proxy,3,client-server
chrome-remote-desktop,networking,remote-access,2,browser-based
cinemagram,media,photo-video,2,client-server
cip-ethernet-ip-base,business-systems,ics-protocols,1,client-server
cip-ethernet-ip-list-identity,business-systems,ics-protocols,1,client-server
cip-ethernet-ip-send-rr-data,business-systems,ics-protocols,1,client-server
cip-ethernet-ip-send-unit-data,business-systems,ics-protocols,1,client-server
cip-ethernet-ip-reg-session,business-systems,ics-protocols,1,client-server
cip-ethernet-ip-run,business-systems,ics-protocols,1,client-server
cip-ethernet-ip-read-tag,business-systems,ics-protocols,1,client-server
cip-ethernet-ip-read-tag-frag,business-systems,ics-protocols,1,client-server
cip-ethernet-ip-write-tag,business-systems,ics-protocols,1,client-server
cip-ethernet-ip-write-tag-frag,business-systems,ics-protocols,1,client-server
cip-ethernet-ip-read-mod-write,business-systems,ics-protocols,1,client-server
